id,week,home_id,home_team,home_points,away_id,away_team,away_points
401425418,1,2032,Arkansas State,58,2755,Grambling,3
401424416,1,239,Baylor,69,399,Albany,10
401414778,1,2655,Tulane,42,113,UMass,10
401403859,1,96,Kentucky,37,193,Miami (OH),13
401403857,1,57,Florida,29,254,Utah,26
401431906,1,110243,University of Texas of the Permian Basin,17,2586,Southwest Baptist,41
401431894,1,2395,Midwestern State,27,2570,Colorado State-Pueblo,59
401432323,1,2013,Albany State (GA),28,2401,Mississippi College,14
401430708,1,2220,Fayetteville State,15,2882,UNC Pembroke,13
401404157,1,2572,Southern Mississippi,27,2335,Liberty,29
401423918,1,2504,Prairie View,40,2640,Texas Southern,23
401420873,1,2016,Alcorn State,27,2617,Stephen F. Austin,31
401431860,1,110242,West Florida,52,2683,Warner,3
401403856,1,2,Auburn,42,2382,Mercer,16
401435063,1,390,Utica,43,184,Rochester,28
401403866,1,238,Vanderbilt,42,2210,Elon,31
401435180,1,2171,Denison,48,424,Capital,31
401466246,1,2674,Valparaiso,20,111756,Indiana Wesleyan,17
401404056,1,2306,Kansas State,34,233,South Dakota,0
401418609,1,2046,Austin Peay,63,2506,Presbyterian College,0
401435106,1,2399,Minnesota-Morris,24,2359,Macalester,45
401420846,1,2916,Incarnate Word,64,79,Southern Illinois,29
401432765,1,2242,Geneva College,25,2748,Wooster,33
401420797,1,2428,North Carolina Central,28,2448,North Carolina A&T,13
401404124,1,194,Ohio State,21,87,Notre Dame,10
401403861,1,344,Mississippi State,49,235,Memphis,23
401403854,1,333,Alabama,55,328,Utah State,0
401426539,1,249,North Texas,10,2567,SMU,48
401403863,1,2579,South Carolina,35,2247,Georgia State,14
401404055,1,2641,Texas Tech,63,93,Murray State,10
401431911,1,2714,Western State,6,2704,West Texas A&M,44
401413340,1,147,Montana State,40,2377,McNeese,17
401431240,1,509,Crown College,14,162,Hamline,39
401403970,1,24,Stanford,41,2142,Colgate,10
401430981,1,2919,Monmouth (IL),7,2685,Wartburg,34
401439762,1,583,Northwestern (MN),15,124,Augsburg,23
401431901,1,2658,Texas A&M-Kingsville,60,123086,North American University,0
401433060,1,2703,Western New Mexico,34,2001,Adams State,20
401404059,1,251,Texas,52,2433,Louisiana Monroe,10
401415210,1,167,New Mexico,41,311,Maine,0
401411099,1,183,Syracuse,31,97,Louisville,7
401432189,1,301,San Diego,58,2318,La Verne,0
401403974,1,265,Washington State,24,70,Idaho,17
401435149,1,411,Chapman,42,205,Pacific (OR),21
401432637,1,415,George Fox University,38,29,Redlands,31
401420855,1,16,Sacramento State,56,3101,Utah Tech,33
401403969,1,204,Oregon State,34,68,Boise State,17
401403973,1,264,Washington,45,2309,Kent State,20
401426543,1,62,Hawai'i,17,98,Western Kentucky,49
401431127,1,2262,Hanover,29,2121,Centre,31
401424947,1,2296,Jackson State,59,50,Florida A&M,3
401431983,1,2119,Central State,41,2736,Winston-Salem,21
401432363,1,2657,Tuskegee,6,2232,Fort Valley State,21
401403867,1,52,Florida State,24,99,LSU,23
401411101,1,59,Georgia Tech,10,228,Clemson,41
401432091,2,2699,West Liberty,30,2017,Alderson-Broaddus,17
401431518,2,2825,Quincy,53,2907,Trinity International (IL),14
401446231,2,2986,Fairmont State,38,2128,Charleston (WV),40
401431916,2,2118,Central Missouri State,32,2687,Washburn,40
401431953,2,2438,Nebraska-Kearney,28,90,Pittsburg State,35
401431927,2,2231,Fort Hays State,19,137,Missouri Western,35
401420807,2,2623,Missouri State,35,2630,UT Martin,30
401432371,2,2122,Central Oklahoma,21,2214,Emporia State,13
401431160,2,2951,SUNY Maritime,17,110,Mass Maritime,14
401438607,2,2884,Nichols,71,110438,Dean College,55
401438633,2,2221,FDU-Florham,28,2970,William Paterson,21
401435073,2,2771,Merrimack,45,2038,Assumption,17
401439543,2,2749,Worcester Polytechnic,0,452,Endicott College,24
401415613,2,2116,UCF,14,97,Louisville,20
401415214,2,167,New Mexico,14,68,Boise State,31
401432988,2,2315,Kutztown,24,2858,California (PA),19
401433053,2,223,West Chester,14,215,Slippery Rock,35
401433044,2,2974,Shepherd,41,2205,Edinboro,7
401441941,2,2782,SUNY Cortland,63,2442,College of New Jersey,7
401445801,2,125974,Hilbert College,0,2171,Denison,63
401431170,2,15,Anna Maria College,63,379,UMass Dartmouth,48
401431187,2,2790,Albion,51,2074,Bluffton,2
401435064,2,390,Utica,21,2871,Kean,15
401405080,2,213,Penn State,46,195,Ohio,10
401405079,2,194,Ohio State,45,2032,Arkansas State,12
401403868,2,251,Texas,19,333,Alabama,20
401426553,2,349,Army,38,2636,UT San Antonio,41
401411103,2,2247,Georgia State,28,153,North Carolina,35
401405073,2,77,Northwestern,23,150,Duke,31
401405071,2,135,Minnesota,62,2710,Western Illinois,10
401411105,2,2390,Miami,30,2572,Southern Mississippi,7
401432127,2,587,Notre Dame College,27,112335,Wheeling Jesuit,14
401403879,2,238,Vanderbilt,25,154,Wake Forest,45
401432146,2,2882,UNC Pembroke,50,455,WV Wesleyan,26
401432589,2,391,Oberlin,35,111674,Alvernia University,38
401438666,2,2467,Norwich,19,2779,St Lawrence,30
401432572,2,2274,Hiram,21,2748,Wooster,49
401456475,2,2560,Shorter,34,2107,Catawba,21
401431051,2,2280,Husson,0,2972,Plymouth State,17
401445816,2,2184,Duquesne,34,2646,Thomas More,14
401431108,2,365,Alfred,37,2419,Mount St. Joseph,43
401403869,2,8,Arkansas,44,2579,South Carolina,30
401433030,2,210,Millersville,10,367,Gannon,16
401438686,2,81,Springfield,35,2827,Rowan,38
401439519,2,2967,Framingham State,31,374,St. John Fisher,20
401441263,2,2818,Montclair State,6,2808,Delaware Valley,14
401403876,2,2306,Kansas State,40,142,Missouri,12
401432694,2,359,Otterbein,7,191,Heidelberg,34
401411106,2,152,NC State,55,2127,Charleston Southern,3
401432718,2,297,Hampden-Sydney,27,2725,Widener,31
401442043,2,284,Stonehill,76,126086,Post University,0
401431405,2,2506,Presbyterian College,21,2355,Virginia Lynchburg,13
401424403,2,2405,Monmouth,49,2230,Fordham,52
401424423,2,112358,Long Island University,21,222,Villanova,38
401433116,2,2331,Lenoir-Rhyne,5,2222,Ferris State,27
401437045,2,2232,Fort Valley State,9,2310,Kentucky State,7
401432766,2,146,Grove City College,55,2242,Geneva College,17
401432120,2,341,Frostburg State,18,2707,WV State,7
401429851,2,129,Saginaw Valley,40,2075,Bowie State,12
401424421,2,311,Maine,18,2142,Colgate,21
401431822,2,2838,Tiffin,28,2477,Ohio Dominican,13
401456234,2,2886,Northwood (MI),38,126146,Madonna University,0
401438226,2,2105,Carson-Newman,27,112334,Franklin Pierce,6
401430686,2,2119,Central State,21,2339,Lincoln (PA),26
401431815,2,128,Northern Michigan,13,271,UW-Oshkosh,10
401437185,2,2441,New Haven,31,2583,Southern Connecticut State,26
401431979,2,2804,Chowan,21,2839,Tusculum,23
401438177,2,2401,Mississippi College,26,126110,Keiser University,8
401433037,2,2559,Shippensburg,36,611,Seton Hill College,17
401430723,2,395,St. Augustine's,14,2336,Limestone,73
401445123,2,246,Juniata,19,2700,McDaniel College,35
401432780,2,2614,St. Vincent,21,2686,Washington & Jefferson,52
401441952,2,2702,Western New England,38,2909,Westfield State,14
401436998,2,216,Susquehanna,39,2234,Franklin & Marshall,36
401437208,2,3110,Morrisville State,24,174,Hobart,13
401441946,2,2969,Misericordia,38,122774,Keystone,20
401439532,2,471,Stevenson,35,2532,Salisbury,21
401443110,2,2422,Muhlenberg,34,2175,Dickinson,21
401431319,2,2151,Concordia (IL),45,109418,Finlandia University,7
401431211,2,354,Olivet College,54,101,Eureka College,14
401431086,2,89,Wabash College,12,3071,North Central,56
401439527,2,237,Union,76,402,Worcester State College,7
401435132,2,2108,Catholic University,7,2516,Randolph-Macon,41
401432734,2,2553,Sewanee Univ. of the South,0,2688,Washington & Lee,44
401432709,2,366,Ferrum,3,332,Muskingum,31
401432758,2,2845,Waynesburg,31,2963,Case Western Reserve,45
401432741,2,2644,Thiel College,6,2018,Allegheny,34
401416597,2,2117,Central Michigan,24,6,South Alabama,38
401431060,2,111675,University of New England,38,18,Bridgewater State,23
401431128,2,2003,Adrian,33,2262,Hanover,0
401431207,2,126,Kalamazoo,24,352,Kenyon,21
401432525,2,2745,UW-Whitewater,28,2371,Mary Hardin-Baylor,24
401432530,2,323,Moravian,43,2248,Gettysburg,28
401432544,2,417,Gallaudet,31,2256,Greensboro,14
401433071,2,2069,Black Hills State,38,2911,William Jewell College,19
401460111,2,173,Hartwick,10,247,King's College (PA),17
401432791,2,2849,Westminster PA,42,2062,Bethany (WV),3
401432111,2,2148,Concord,21,2249,Glenville State,7
401431030,2,2667,Ursinus,29,118,Johns Hopkins,36
401460113,2,109,MIT,10,2776,Salve Regina,13
401432749,2,2528,Rensselaer,7,2102,Carnegie Mellon,10
401430952,2,2812,Hope,33,2141,Coe,24
401431151,2,388,Lebanon Valley,20,2354,Lycoming,21
401432552,2,175,Ithaca,24,2781,Brockport State (NY),0
401431041,2,2557,Coast Guard,22,40,Curry,16
401403982,2,254,Utah,73,253,Southern Utah,7
401432662,2,2733,Wilmington (OH),12,188,Baldwin-Wallace,13
401422972,2,2678,VMI,24,2083,Bucknell,14
401420823,2,2754,Youngstown State,49,2168,Dayton,16
401432811,2,143,Washington (MO),52,418,Hendrix College,7
401431256,2,266,Beloit College,14,2155,Cornell College (IA),35
401415614,2,218,Temple,30,322,Lafayette,14
401423152,2,2181,Drake,14,2402,Missouri S&T,17
401432617,2,306,Illinois Wesleyan,45,2980,Ohio Wesleyan,21
401431526,2,613,South Dakota Mines,20,2654,Truman State,27
401438673,2,2079,Bridgewater (VA),58,2896,Southern Virginia,10
401431887,2,2146,Colorado Mines,27,2025,Angelo State,30
401438650,2,293,Castleton State College,48,114,Fitchburg State,0
401432393,2,2043,Augustana (SD),30,132,Bemidji State,29
401431247,2,272,Wisconsin-Platteville,10,2802,Bethel (MN),7
401431500,2,2816,McKendree,34,2170,Delta State,58
401435104,2,2600,St. Johns (MN),37,2723,UW-River Falls,34
401431118,2,2044,Aurora,49,2233,Franklin,16
401432561,2,409,Concordia (WI),28,583,Northwestern (MN),14
401430969,2,133,St. Olaf College,55,67,Luther,27
401435054,2,2237,Fort Lewis,12,108358,Arizona Christian,52
401431288,2,65,Grinnell,0,2919,Monmouth (IL),48
401428484,2,2900,St. Thomas (MN),32,2392,Michigan Tech,6
401416594,2,2050,Ball State,30,2711,Western Michigan,37
401432961,2,2894,Sioux Falls,34,568,Minot State,0
401432977,2,2071,Bloomsburg,42,2134,Clarion,3
401430976,2,561,Mayville State,55,6845,Nebraska Wesleyan University,48
401432511,2,2964,Central,31,2738,Wisconsin-Eau Claire,13
401431302,2,2832,St. Norbert,21,2743,Wisconsin-Stevens Point,14
401432437,2,2851,Winona State,25,559,University of Mary,17
401432837,2,2101,Carleton,84,509,Crown College,20
401431241,2,162,Hamline,34,2399,Minnesota-Morris,21
401433409,2,241,McMurry,13,2398,Millsaps,27
401430922,2,6353,Lakeland University,34,63,Buena Vista,41
401432863,2,433,Westminster,6,2295,Iowa Wesleyan,41
401435188,2,2045,Austin College,7,2519,Rhodes,23
401435108,2,2286,Illinois College,14,80,Chicago,40
401435110,2,2257,Greenville,40,2524,Rockford,30
401404125,2,87,Notre Dame,21,276,Marshall,26
401438681,2,2930,Willamette,26,2318,La Verne,14
401445794,2,2015,Albright,14,2843,Western Connecticut State,28
401432340,2,2323,Lane,0,490,Benedict College,14
401432384,2,2830,St. Anselm,56,2022,American International,7
401431937,2,2876,Lincoln (MO),20,138,Northwest Missouri State,58
401413334,2,149,Montana,24,233,South Dakota,7
401420837,2,2449,North Dakota State,43,2448,North Carolina A&T,3
401403877,2,221,Pittsburgh,27,2633,Tennessee,34
